Date,Network,GSM Register Attempt,GPRS Register Attempt,GSM Register Success,GPRS Register Success,GSM Success Ratio (%),GPRS Success Ratio (%),GSM Avg Register Roamers,GPRS Avg Register Roamers,GSM Out of Total Roamer(%),GPRS Out of Total Roamer(%),Country
2014-02-18,AWCC,0,0,0,0,0.0,0.0,2,1,3.0981813675372557E-5,3.774866935940508E-5,AFGHANISTAN,
2014-02-18,Etisalat (AFG),1,0,1,0,1.0,0.0,1,0,1.5490906837686278E-5,0.0,AFGHANISTAN,
2014-02-18,Vodafone (ALB),30,39,17,31,0.5666666666666667,0.7948717948717948,2,2,3.0981813675372557E-5,7.549733871881016E-5,ALBANIA,
2014-02-18,Wataniya Telecom Algerie,0,0,0,0,0.0,0.0,2,0,3.0981813675372557E-5,0.0,ALGERIA,
2014-02-18,Claro (ARG),269,56,5,53,0.01858736059479554,0.9464285714285714,3,2,4.6472720513058835E-5,7.549733871881016E-5,ARGENTINA,
2014-02-18,Movistar (ARG),273,0,266,0,0.9743589743589743,0.0,14,0,2.1687269572760788E-4,0.0,ARGENTINA,
2014-02-18,MTS (ARM),12,0,0,0,0.0,0.0,1,0,1.5490906837686278E-5,0.0,ARMENIA,
2014-02-18,Orange (ARM),1,0,1,0,1.0,0.0,2,0,3.0981813675372557E-5,0.0,ARMENIA,
2014-02-18,Telstra (AUS),3151,5007,1606,3974,0.5096794668359251,0.7936888356301178,101,81,0.001564581590606314,0.0030576422181118118,AUSTRALIA,
2014-02-18,Vodafone (AUS),13557,1769,8,0,5.901010548056355E-4,0.0,7,2,1.0843634786380394E-4,7.549733871881016E-5,AUSTRALIA,
2014-02-18,Yes Optus (AUS),18961,2444,0,0,0.0,0.0,0,0,0.0,0.0,AUSTRALIA,
2014-02-18,Mobilkom (AUT),1360,5384,1325,5375,0.9742647058823529,0.9983283803863299,174,116,0.0026954177897574125,0.0043788456456909895,AUSTRIA,
2014-02-18,Orange (AUT) (1800),124,89,114,82,0.9193548387096774,0.9213483146067416,16,8,2.4785450940298045E-4,3.0198935487524064E-4,AUSTRIA,
2014-02-18,T-Mobile (AUT),267,990,174,985,0.651685393258427,0.9949494949494949,41,32,6.351271803451375E-4,0.0012079574195009626,AUSTRIA,
2014-02-18,Telering - HPMN,101,225,65,225,0.6435643564356436,1.0,24,18,3.717817641044707E-4,6.794760484692914E-4,AUSTRIA,
2014-02-18,Azercell,249,26,17,12,0.06827309236947791,0.46153846153846156,1,2,1.5490906837686278E-5,7.549733871881016E-5,AZERBAIJAN,
2014-02-18,Azerfon (AZE),18,9,18,9,1.0,1.0,3,1,4.6472720513058835E-5,3.774866935940508E-5,AZERBAIJAN,
2014-02-18,Bakcell (AZE),15,1,1,1,0.06666666666666667,1.0,1,1,1.5490906837686278E-5,3.774866935940508E-5,AZERBAIJAN,
2014-02-18,Batelco (BHS),4,1,0,0,0.0,0.0,2,1,3.0981813675372557E-5,3.774866935940508E-5,BAHAMAS,
2014-02-18,Batelco (BHR),1642,1125,1188,596,0.7235079171741778,0.5297777777777778,26,10,4.027635777798432E-4,3.774866935940508E-4,BAHRAIN,
2014-02-18,Viva (BHR),170,330,77,244,0.45294117647058824,0.7393939393939394,18,9,2.78836323078353E-4,3.397380242346457E-4,BAHRAIN,
2014-02-18,Zain (BHR),106,341,103,338,0.9716981132075472,0.9912023460410557,18,15,2.78836323078353E-4,5.662300403910763E-4,BAHRAIN,
2014-02-18,Grameenphone,19940,988,101,480,0.005065195586760281,0.48582995951417,27,17,4.182544846175295E-4,6.417273791098864E-4,BANGLADESH,
2014-02-18,Robi,7346,296,21,180,0.0028586986114892458,0.6081081081081081,11,3,1.7039997521454907E-4,1.1324600807821524E-4,BANGLADESH,
2014-02-18,Sheba World,13247,204,0,0,0.0,0.0,1,0,1.5490906837686278E-5,0.0,BANGLADESH,
2014-02-18,Warid Telecom (BGD),3334,53,3,24,8.998200359928015E-4,0.4528301886792453,1,1,1.5490906837686278E-5,3.774866935940508E-5,BANGLADESH,
2014-02-18,Velcom,54,118,22,118,0.4074074074074074,1.0,3,3,4.6472720513058835E-5,1.1324600807821524E-4,BELARUS,
2014-02-18,Base (BEL),142,286,96,270,0.676056338028169,0.9440559440559441,13,10,2.013817888899216E-4,3.774866935940508E-4,BELGIUM,
2014-02-18,Mobistar,1056,246,344,160,0.32575757575757575,0.6504065040650406,87,80,0.0013477088948787063,0.0030198935487524064,BELGIUM,
2014-02-18,Proximus,3332,292,0,0,0.0,0.0,0,0,0.0,0.0,BELGIUM,
2014-02-18,TashiCell (BTN),24,1,0,0,0.0,0.0,0,0,0.0,0.0,BHUTAN,
2014-02-18,Mtel (BIH),0,0,0,0,0.0,0.0,3,1,4.6472720513058835E-5,3.774866935940508E-5,BOSNIA HERZEGOVINA,
